user_id,city,age_group,user_type,orders_per_month,avg_order_value_inr,delivery_time_min,campaign_exposed,discount_used,zepto_pass_member,order_category,repeat_purchase
26,Pune,18-24,Returning,8,386.22,9.1,Referral,1,0,Household,1
27,Pune,18-24,Returning,3,234.77,10.38,Referral,1,0,Private Label,1
28,Delhi,45+,Returning,5,411.89,8.38,Influencer,0,1,Private Label,1
29,Surat,18-24,Returning,9,431.38,8.3,Zepto Pass,1,0,Snacks,1
30,Hyderabad,25-34,Returning,6,390.3,10.57,Referral,1,1,Private Label,0
31,Chennai,25-34,Returning,11,201.49,8.11,Festival Offer,0,1,Private Label,0
32,Mumbai,35-44,New,5,454.9,7.38,Meme Marketing,1,1,Snacks,1
33,Hyderabad,25-34,New,7,267.88,7.68,Festival Offer,1,1,Private Label,1
34,Delhi,18-24,Returning,5,526.71,9.92,Referral,0,0,Grocery,1
35,Pune,25-34,Returning,4,353.35,12.81,Festival Offer,1,0,Grocery,0
36,Chennai,25-34,New,1,531.31,7.47,Festival Offer,1,0,Snacks,1
37,Hyderabad,18-24,Returning,10,421.69,9.77,Zepto Pass,0,0,Snacks,0
38,Mumbai,25-34,Returning,7,427.85,9.03,Uncle Ji,1,0,Grocery,1
39,Mumbai,18-24,New,2,573.16,10.49,Referral,0,1,Household,0
40,Bangalore,18-24,Returning,6,322.17,9.75,Meme Marketing,0,1,Private Label,0
41,Bangalore,25-34,New,6,288.51,10.59,Uncle Ji,1,0,Personal Care,0
42,Jaipur,18-24,New,7,486.68,9.24,Festival Offer,1,0,Personal Care,1
43,Delhi,25-34,Returning,4,262.31,7.55,Uncle Ji,1,0,Snacks,1
44,Surat,25-34,Returning,6,324.15,7.78,Influencer,0,1,Personal Care,1
45,Hyderabad,35-44,New,4,230.5,9.12,Influencer,1,1,Household,1
46,Hyderabad,18-24,Returning,5,558.22,9.5,Referral,1,0,Personal Care,1
47,Surat,18-24,Returning,5,299.68,8.22,Meme Marketing,1,1,Grocery,0
48,Jaipur,18-24,New,8,341.49,11.82,Influencer,1,0,Snacks,0
49,Pune,25-34,New,4,265.19,10.21,Festival Offer,0,0,Personal Care,1
50,Pune,35-44,Returning,5,373.75,5.67,Zepto Pass,0,0,Private Label,1
51,Jaipur,18-24,New,8,402.85,8.62,Zepto Pass,1,1,Snacks,0
52,Pune,45+,Returning,6,519.12,7.26,Festival Offer,1,0,Household,1
53,Bangalore,18-24,Returning,5,261.37,11.66,Uncle Ji,0,0,Grocery,1
54,Hyderabad,25-34,Returning,5,347.89,5.47,Festival Offer,1,0,Personal Care,1
55,Jaipur,35-44,New,9,590.73,9.43,Uncle Ji,0,0,Grocery,1
56,Hyderabad,35-44,Returning,8,544.93,8.98,Uncle Ji,0,1,Household,1
57,Surat,35-44,Returning,8,338.66,10.02,Zepto Pass,1,0,Personal Care,1
58,Mumbai,35-44,New,4,414.06,9.28,Influencer,0,1,Snacks,0
59,Bangalore,25-34,New,9,656.16,11.9,Festival Offer,1,0,Snacks,1
60,Chennai,35-44,New,4,276.72,10.18,Influencer,1,0,Private Label,0
61,Bangalore,18-24,Returning,7,189.45,6.04,Referral,1,0,Household,1
62,Jaipur,35-44,Returning,4,355.67,10.91,Meme Marketing,0,0,Personal Care,0
63,Chennai,25-34,New,4,409.99,9.1,Zepto Pass,0,0,Grocery,0
64,Mumbai,35-44,Returning,10,323.74,10.91,Uncle Ji,0,0,Grocery,0
65,Jaipur,25-34,New,8,537.23,8.32,Meme Marketing,1,1,Personal Care,1
66,Delhi,25-34,Returning,6,445.28,7.21,Uncle Ji,0,1,Household,1
67,Hyderabad,25-34,Returning,6,347.47,6.92,Meme Marketing,1,1,Household,1
68,Mumbai,35-44,Returning,5,355.32,10.39,Meme Marketing,1,0,Grocery,1
69,Hyderabad,18-24,Returning,5,330.44,10,Influencer,1,0,Personal Care,0
70,Pune,18-24,Returning,4,519.57,7.91,Referral,1,0,Personal Care,1
71,Delhi,18-24,Returning,7,363.3,4.79,Referral,1,1,Grocery,0
72,Delhi,18-24,Returning,3,276.85,10.45,Uncle Ji,1,1,Personal Care,1
73,Mumbai,35-44,Returning,7,535.43,5.74,Zepto Pass,0,1,Personal Care,1
74,Delhi,18-24,New,7,386.83,12.06,Referral,0,0,Snacks,1
75,Chennai,45+,New,8,256.81,6.63,Zepto Pass,1,0,Snacks,0
76,Delhi,25-34,New,11,625.54,8.82,Uncle Ji,1,0,Private Label,1
77,Hyderabad,18-24,Returning,6,493.27,9.15,Zepto Pass,0,0,Private Label,1
78,Hyderabad,35-44,Returning,3,425.55,9.35,Meme Marketing,1,0,Household,1
79,Jaipur,25-34,Returning,8,394.58,9.29,Meme Marketing,1,0,Snacks,1
80,Hyderabad,25-34,New,3,386.36,9,Uncle Ji,0,0,Snacks,1
81,Jaipur,25-34,Returning,10,383.91,8.15,Zepto Pass,0,0,Snacks,0
82,Hyderabad,35-44,Returning,6,387.17,8.46,Zepto Pass,1,0,Snacks,1
83,Chennai,18-24,Returning,7,349.24,7.82,Uncle Ji,1,1,Household,0
84,Surat,45+,Returning,3,407.6,8.97,Referral,1,0,Grocery,0
85,Jaipur,45+,Returning,4,346.86,6.17,Influencer,0,0,Household,0
86,Bangalore,25-34,New,6,446.81,9.27,Referral,1,1,Grocery,1
87,Pune,18-24,Returning,6,417.18,8.65,Festival Offer,1,1,Private Label,1
88,Mumbai,25-34,New,6,335.94,10.06,Influencer,1,0,Snacks,0
89,Hyderabad,18-24,Returning,6,409.58,8.34,Zepto Pass,0,1,Grocery,1
90,Delhi,18-24,Returning,7,485.15,9.7,Influencer,1,0,Household,1
91,Surat,18-24,Returning,7,149.23,9.63,Influencer,0,0,Grocery,0
92,Hyderabad,25-34,New,3,489.38,8.59,Zepto Pass,0,0,Personal Care,1
93,Delhi,35-44,Returning,3,272.83,9.33,Meme Marketing,0,0,Private Label,1
94,Pune,35-44,Returning,3,364.93,6.79,Influencer,0,1,Private Label,1
95,Pune,35-44,New,7,120,10.81,Uncle Ji,1,0,Snacks,0
96,Pune,25-34,Returning,6,487.88,7.98,Referral,0,0,Snacks,0
97,Delhi,25-34,Returning,4,331.17,8.53,Zepto Pass,1,1,Household,1
98,Hyderabad,25-34,Returning,6,360.02,7.22,Zepto Pass,0,0,Grocery,1
99,Pune,45+,Returning,9,430.88,7.65,Influencer,1,1,Personal Care,1
100,Chennai,18-24,New,5,183.5,11.27,Meme Marketing,0,0,Private Label,1
101,Jaipur,35-44,Returning,3,427.45,9.01,Meme Marketing,1,0,Grocery,0
102,Delhi,25-34,New,11,497.79,8.35,Referral,1,0,Personal Care,0
103,Delhi,25-34,Returning,6,440.9,8.35,Referral,1,1,Grocery,0
104,Hyderabad,35-44,Returning,6,372.74,8.8,Meme Marketing,1,1,Snacks,0
105,Delhi,25-34,Returning,8,424.94,9.88,Festival Offer,0,0,Private Label,0
106,Delhi,35-44,New,3,410.94,9.09,Meme Marketing,0,0,Personal Care,0
107,Pune,45+,Returning,7,511.02,9.12,Meme Marketing,1,1,Snacks,1
108,Hyderabad,25-34,Returning,6,570.6,7.42,Influencer,0,1,Household,0
109,Pune,18-24,Returning,5,370.7,8.36,Uncle Ji,1,0,Household,1
110,Jaipur,25-34,Returning,5,447.78,9.03,Referral,1,0,Snacks,0
111,Surat,45+,Returning,8,339.89,8.75,Festival Offer,1,1,Personal Care,1
112,Jaipur,18-24,Returning,7,470,8.18,Festival Offer,1,0,Personal Care,1
113,Surat,25-34,Returning,8,475.21,8.04,Zepto Pass,1,1,Private Label,0
114,Pune,25-34,New,3,399.98,9.45,Meme Marketing,1,0,Snacks,0
115,Jaipur,35-44,New,7,482.28,9.49,Meme Marketing,1,1,Household,1
116,Hyderabad,18-24,Returning,8,420.38,10.28,Uncle Ji,0,0,Snacks,1
117,Mumbai,35-44,Returning,4,414.23,9.09,Meme Marketing,1,1,Grocery,0
118,Pune,45+,Returning,4,314.36,5.69,Referral,0,1,Personal Care,1
119,Surat,18-24,Returning,8,440.64,12.34,Festival Offer,1,1,Grocery,0
120,Chennai,18-24,New,4,350.65,8.79,Meme Marketing,0,1,Household,1
121,Surat,45+,Returning,6,524.36,8.18,Uncle Ji,0,1,Personal Care,0
122,Chennai,18-24,New,2,318.82,8.71,Influencer,1,1,Household,1
123,Delhi,35-44,New,4,452.26,8.21,Referral,0,0,Household,1
124,Jaipur,25-34,Returning,4,388.73,7.57,Influencer,1,0,Household,1
125,Chennai,18-24,New,6,451.96,9.72,Zepto Pass,1,1,Private Label,1
126,Surat,35-44,Returning,8,413,8.58,Uncle Ji,1,1,Household,1
127,Delhi,25-34,New,6,321.84,8.67,Zepto Pass,0,0,Household,1
128,Mumbai,25-34,Returning,7,551.25,5.05,Zepto Pass,1,1,Grocery,1
129,Hyderabad,25-34,Returning,9,313.54,8.46,Festival Offer,1,0,Grocery,1
130,Hyderabad,25-34,New,10,497.11,7.19,Zepto Pass,0,0,Grocery,1
131,Hyderabad,18-24,Returning,6,216.19,8.02,Zepto Pass,1,1,Personal Care,1
132,Chennai,25-34,Returning,8,385.33,9.15,Uncle Ji,1,1,Private Label,1
133,Mumbai,45+,Returning,8,603.5,7.88,Influencer,1,1,Personal Care,0
134,Chennai,18-24,New,8,386.95,8.09,Meme Marketing,1,1,Private Label,1
135,Jaipur,25-34,Returning,6,431.58,8.94,Zepto Pass,0,0,Private Label,0
136,Chennai,25-34,Returning,6,612.31,8.04,Festival Offer,1,0,Snacks,0
137,Mumbai,35-44,Returning,4,402.86,7.22,Meme Marketing,1,1,Snacks,1
138,Mumbai,18-24,Returning,10,451.08,6.22,Festival Offer,1,0,Snacks,0
139,Jaipur,45+,Returning,3,492.56,9.3,Meme Marketing,1,0,Private Label,0
140,Mumbai,25-34,Returning,4,254.44,8.03,Zepto Pass,1,1,Private Label,1
141,Surat,18-24,Returning,8,361.74,6.3,Referral,1,1,Personal Care,0
142,Mumbai,18-24,Returning,7,435.58,10.67,Meme Marketing,1,1,Private Label,0
143,Hyderabad,18-24,Returning,4,228.5,9.31,Referral,1,1,Household,1
144,Surat,25-34,Returning,5,584.38,7.02,Influencer,1,0,Household,0
145,Surat,25-34,Returning,4,510.77,7.74,Meme Marketing,1,0,Private Label,1
146,Jaipur,35-44,Returning,4,492.9,10.37,Uncle Ji,1,1,Household,0
147,Bangalore,25-34,New,7,578.4,8.54,Festival Offer,0,1,Private Label,1
148,Bangalore,18-24,Returning,5,506.79,8.17,Influencer,0,0,Snacks,0
149,Mumbai,25-34,Returning,5,392.41,9.93,Influencer,1,0,Private Label,0
150,Surat,35-44,Returning,6,224.13,8.55,Referral,1,1,Snacks,0
151,Bangalore,18-24,Returning,6,338.25,10.64,Zepto Pass,0,0,Grocery,0
152,Bangalore,18-24,Returning,5,341.73,8.18,Festival Offer,1,1,Household,1
153,Mumbai,18-24,Returning,3,494.25,7.94,Uncle Ji,0,0,Grocery,1
154,Bangalore,35-44,New,6,429.71,8.82,Uncle Ji,1,0,Household,1
155,Chennai,25-34,Returning,5,232.14,10.25,Referral,1,1,Grocery,0
156,Delhi,25-34,Returning,5,523.82,9.17,Referral,1,0,Private Label,1
157,Jaipur,35-44,Returning,8,579.52,8.96,Influencer,0,0,Grocery,0
158,Delhi,35-44,New,5,597.06,7.59,Referral,1,1,Household,1
159,Mumbai,25-34,Returning,9,284.41,7.37,Zepto Pass,1,1,Personal Care,1
160,Hyderabad,35-44,New,9,458.59,10.25,Influencer,1,0,Household,1
161,Jaipur,18-24,New,3,299.24,10.41,Influencer,1,0,Personal Care,0
162,Mumbai,18-24,New,5,652.7,10.36,Influencer,1,0,Private Label,1
163,Surat,18-24,New,7,423.67,9.99,Uncle Ji,1,1,Household,1
164,Hyderabad,18-24,Returning,4,375.58,9.47,Festival Offer,1,0,Grocery,0
165,Delhi,25-34,Returning,4,353.49,9.45,Festival Offer,0,0,Private Label,0
166,Mumbai,45+,Returning,5,460.08,9,Uncle Ji,1,0,Household,1
167,Surat,18-24,Returning,8,481.87,9.64,Influencer,1,0,Private Label,1
168,Jaipur,18-24,New,4,222.23,8.74,Zepto Pass,1,0,Personal Care,0
169,Jaipur,25-34,Returning,6,587.62,9.64,Meme Marketing,0,0,Private Label,1
170,Pune,45+,Returning,6,476.51,10.18,Influencer,1,1,Grocery,1
171,Surat,25-34,Returning,3,586.66,6.91,Referral,1,1,Household,1
172,Chennai,25-34,Returning,3,625.28,10.44,Festival Offer,1,0,Personal Care,1
173,Bangalore,18-24,Returning,6,408.07,8.71,Meme Marketing,1,1,Private Label,1
174,Hyderabad,18-24,New,7,522.83,10.99,Uncle Ji,0,1,Snacks,0
175,Surat,45+,Returning,6,350.91,10.71,Uncle Ji,0,0,Personal Care,1
176,Pune,45+,New,7,363.87,7.25,Meme Marketing,0,0,Personal Care,1
177,Bangalore,18-24,Returning,5,608.69,8.8,Festival Offer,0,0,Grocery,1
178,Bangalore,45+,Returning,6,331.31,6,Festival Offer,0,1,Grocery,1
179,Mumbai,25-34,Returning,7,443.58,8.22,Referral,1,1,Private Label,1
180,Bangalore,35-44,New,4,311.07,9.33,Uncle Ji,1,1,Snacks,1
181,Chennai,25-34,Returning,5,341.33,10.07,Uncle Ji,0,1,Personal Care,1
182,Jaipur,25-34,New,8,359.39,8.9,Influencer,1,1,Private Label,1
183,Pune,25-34,Returning,6,593.66,9.46,Zepto Pass,1,1,Snacks,1
184,Bangalore,25-34,New,9,481.65,7.75,Referral,1,1,Private Label,1
185,Mumbai,18-24,New,2,521.02,8.77,Influencer,1,0,Personal Care,1
186,Chennai,18-24,Returning,8,203.18,7.91,Zepto Pass,0,0,Private Label,1
187,Delhi,25-34,Returning,5,424.16,9.22,Uncle Ji,0,1,Grocery,1
188,Jaipur,35-44,New,9,374.1,10.88,Zepto Pass,0,1,Grocery,1
189,Jaipur,18-24,New,9,479.08,8.71,Uncle Ji,1,0,Household,1
190,Pune,25-34,Returning,4,708.78,6.74,Festival Offer,1,1,Snacks,0
191,Jaipur,45+,Returning,2,133.13,9.09,Influencer,0,1,Personal Care,0
192,Bangalore,18-24,Returning,6,467.93,9.86,Uncle Ji,1,1,Snacks,1
193,Mumbai,25-34,New,6,684.57,7.42,Zepto Pass,1,0,Grocery,1
194,Jaipur,25-34,Returning,7,358.83,10.66,Influencer,1,1,Personal Care,0
195,Jaipur,35-44,New,8,437.98,7.91,Zepto Pass,0,0,Household,1
196,Delhi,18-24,New,5,501.19,7.66,Zepto Pass,0,0,Grocery,1
197,Delhi,25-34,Returning,8,161.29,6.13,Meme Marketing,0,1,Grocery,1
198,Hyderabad,35-44,Returning,10,451.94,9.2,Uncle Ji,0,1,Snacks,1
199,Chennai,45+,New,5,324.71,11.52,Uncle Ji,1,0,Private Label,1
200,Bangalore,25-34,New,3,665.73,9.35,Zepto Pass,0,1,Snacks,0
201,Jaipur,25-34,New,5,395.12,7.7,Festival Offer,1,0,Grocery,1
202,Surat,25-34,Returning,3,334.76,9.57,Uncle Ji,0,1,Snacks,1
203,Jaipur,35-44,Returning,8,521.6,10,Referral,0,1,Private Label,1
204,Mumbai,25-34,New,9,478.56,10.54,Festival Offer,1,0,Household,0
205,Hyderabad,18-24,New,7,527.51,6.95,Festival Offer,1,0,Personal Care,0
206,Chennai,45+,Returning,7,649.25,11.13,Festival Offer,1,1,Grocery,0
207,Surat,25-34,Returning,6,349.78,9.12,Uncle Ji,1,0,Snacks,0
208,Hyderabad,25-34,Returning,9,626.28,11.43,Festival Offer,1,0,Grocery,0
209,Pune,18-24,New,5,645.29,9.03,Festival Offer,1,0,Personal Care,0
210,Chennai,25-34,New,5,327.78,9.67,Influencer,1,0,Snacks,1
211,Jaipur,25-34,Returning,5,339.4,7.38,Uncle Ji,0,1,Household,1
212,Jaipur,25-34,Returning,6,425.67,10.28,Festival Offer,0,0,Personal Care,0
213,Chennai,18-24,New,2,396.04,7.18,Referral,1,1,Private Label,1
214,Jaipur,25-34,Returning,6,625.09,9.2,Festival Offer,0,0,Private Label,0
215,Bangalore,45+,New,6,316.33,8.15,Zepto Pass,0,1,Grocery,0
216,Chennai,18-24,Returning,5,449.36,8.67,Uncle Ji,0,1,Private Label,1
217,Hyderabad,45+,New,7,328.14,10.43,Influencer,1,0,Snacks,0
218,Chennai,25-34,New,6,433.02,8.27,Referral,1,1,Private Label,1
219,Surat,35-44,Returning,5,677,10.46,Meme Marketing,1,0,Household,0
220,Jaipur,35-44,Returning,3,638.76,8.19,Zepto Pass,1,1,Snacks,1
221,Bangalore,25-34,Returning,5,465.42,9,Zepto Pass,1,1,Grocery,1
222,Bangalore,35-44,Returning,5,495.57,12.02,Zepto Pass,1,1,Grocery,0
223,Pune,35-44,New,5,476.58,8.98,Referral,1,1,Private Label,1
224,Hyderabad,25-34,Returning,4,383.52,8.69,Uncle Ji,1,0,Private Label,0
225,Delhi,25-34,New,4,649.99,9.01,Uncle Ji,1,0,Grocery,0
226,Delhi,25-34,Returning,4,578.35,8.3,Festival Offer,1,0,Snacks,0
227,Chennai,35-44,Returning,3,448.12,7.3,Festival Offer,1,1,Personal Care,1
228,Pune,35-44,Returning,9,393.98,11.89,Uncle Ji,1,1,Grocery,0
229,Mumbai,35-44,New,6,401.77,8.19,Festival Offer,0,0,Household,1
230,Chennai,25-34,Returning,6,460.65,6.52,Uncle Ji,1,0,Snacks,1
231,Pune,35-44,Returning,8,415.79,8.57,Zepto Pass,0,0,Personal Care,1
232,Hyderabad,18-24,Returning,1,556.74,9.34,Meme Marketing,0,0,Personal Care,1
233,Hyderabad,25-34,New,7,477.48,8.49,Zepto Pass,1,0,Snacks,1
234,Hyderabad,18-24,New,2,305.55,8.73,Festival Offer,1,1,Grocery,1
235,Hyderabad,25-34,Returning,1,282.41,8.55,Meme Marketing,0,1,Personal Care,1
236,Hyderabad,25-34,Returning,6,538.9,9.44,Meme Marketing,0,1,Household,1
237,Pune,25-34,New,7,281.24,10.03,Uncle Ji,1,1,Snacks,1
238,Pune,25-34,Returning,2,378.17,8.51,Influencer,1,1,Private Label,1
239,Bangalore,25-34,New,6,367.25,12.68,Referral,0,1,Grocery,0
240,Surat,25-34,Returning,6,271.38,10.36,Influencer,0,0,Snacks,1
241,Delhi,18-24,New,7,457.22,8.79,Meme Marketing,1,0,Household,1
242,Jaipur,25-34,New,5,405.14,6.82,Influencer,1,0,Personal Care,1
243,Hyderabad,18-24,Returning,5,343.46,8.97,Festival Offer,0,1,Grocery,1
244,Mumbai,18-24,New,3,670.22,10.02,Meme Marketing,0,1,Grocery,1
245,Jaipur,25-34,Returning,6,128.29,10.03,Zepto Pass,1,1,Snacks,0
246,Pune,25-34,Returning,9,316.4,6.02,Festival Offer,0,1,Snacks,0
247,Mumbai,25-34,New,7,350.79,8.97,Zepto Pass,0,0,Household,0
248,Mumbai,25-34,Returning,7,256.99,8.08,Festival Offer,1,1,Private Label,1
249,Mumbai,25-34,Returning,6,690.95,11.05,Uncle Ji,1,1,Snacks,1
250,Bangalore,35-44,New,3,689.68,8.99,Festival Offer,0,1,Snacks,0
251,Pune,25-34,Returning,3,337.86,5.37,Referral,1,1,Snacks,0
252,Mumbai,25-34,Returning,5,572.25,9.35,Zepto Pass,0,1,Household,0
253,Hyderabad,18-24,Returning,8,491.58,5.88,Festival Offer,1,0,Personal Care,1
254,Chennai,25-34,New,9,618.73,9.48,Referral,0,0,Private Label,0
255,Mumbai,25-34,New,4,407.14,12.68,Uncle Ji,1,1,Household,0
256,Bangalore,25-34,New,5,471.79,10.84,Festival Offer,1,1,Snacks,1
257,Jaipur,25-34,Returning,6,588.31,9.19,Referral,1,0,Personal Care,1
258,Pune,25-34,Returning,10,569.95,7.81,Festival Offer,1,1,Snacks,1
259,Surat,25-34,Returning,8,438.2,10.71,Zepto Pass,0,1,Household,1
260,Bangalore,35-44,New,5,306.89,9.75,Zepto Pass,1,0,Grocery,0
261,Mumbai,35-44,New,6,328.4,8.4,Influencer,0,0,Snacks,0
262,Pune,35-44,Returning,4,198.1,7.99,Influencer,1,0,Personal Care,1
263,Chennai,45+,Returning,5,514.47,7.44,Festival Offer,1,0,Private Label,1
264,Mumbai,18-24,New,7,445.46,9.36,Influencer,1,0,Grocery,1
265,Bangalore,18-24,Returning,3,454.71,8.17,Festival Offer,1,0,Snacks,1
266,Delhi,18-24,New,9,416.98,9.05,Festival Offer,1,0,Snacks,1
267,Hyderabad,25-34,Returning,6,282.8,10.19,Referral,1,1,Personal Care,0
268,Surat,35-44,Returning,5,457.51,8.14,Zepto Pass,1,1,Grocery,1
269,Jaipur,18-24,New,8,492.63,9.77,Uncle Ji,1,1,Grocery,0
270,Bangalore,45+,New,7,315.82,10.63,Meme Marketing,1,0,Grocery,1
271,Pune,18-24,Returning,8,416.6,9.39,Zepto Pass,1,1,Snacks,1
272,Surat,45+,New,5,342.2,9.85,Influencer,0,1,Grocery,0
273,Surat,25-34,Returning,4,394.13,9.4,Festival Offer,0,1,Snacks,1
274,Surat,18-24,Returning,9,283.75,8.82,Influencer,1,0,Snacks,1
275,Mumbai,25-34,Returning,7,387.82,10.06,Referral,0,1,Grocery,1
276,Hyderabad,18-24,Returning,4,615.29,11.21,Influencer,1,1,Household,1
277,Mumbai,18-24,Returning,6,359.77,10.08,Referral,1,0,Private Label,1
278,Pune,25-34,New,7,338.29,8.51,Uncle Ji,1,0,Private Label,1
279,Mumbai,35-44,Returning,4,345.83,8.55,Festival Offer,0,1,Household,1
280,Delhi,25-34,Returning,7,397.17,8.6,Influencer,0,0,Grocery,1
281,Hyderabad,25-34,Returning,3,635.08,10.22,Referral,0,0,Snacks,1
282,Hyderabad,25-34,New,4,588.68,8.01,Influencer,0,0,Personal Care,1
283,Pune,35-44,New,7,402.79,7.26,Referral,1,1,Household,1
284,Jaipur,18-24,Returning,5,342.86,9.5,Festival Offer,0,1,Private Label,1
285,Delhi,25-34,New,6,208.68,8.83,Festival Offer,0,1,Private Label,1
286,Bangalore,18-24,Returning,3,310.64,11.02,Zepto Pass,0,1,Snacks,0
287,Mumbai,18-24,Returning,4,183.05,5.42,Referral,1,0,Private Label,0
288,Chennai,25-34,Returning,6,508.81,9.11,Meme Marketing,1,1,Private Label,1
289,Mumbai,18-24,Returning,6,580.27,8.19,Uncle Ji,0,0,Snacks,1
290,Surat,25-34,Returning,5,374.97,10.02,Zepto Pass,1,1,Grocery,1
291,Mumbai,35-44,Returning,6,466.07,8.38,Uncle Ji,1,0,Private Label,1
292,Bangalore,18-24,New,9,289.32,7.94,Zepto Pass,0,0,Grocery,0
293,Mumbai,25-34,Returning,7,187.21,10.2,Influencer,1,0,Personal Care,0
294,Delhi,18-24,Returning,4,426.68,10.72,Referral,1,1,Grocery,1
295,Delhi,45+,Returning,6,466,8.65,Influencer,0,1,Snacks,1
296,Hyderabad,25-34,Returning,6,624.48,8.68,Uncle Ji,1,0,Snacks,0
297,Pune,35-44,New,7,667.58,10.71,Festival Offer,0,0,Snacks,1
298,Jaipur,25-34,Returning,4,386.57,10.54,Uncle Ji,1,1,Private Label,0
299,Chennai,18-24,Returning,5,529.45,10.35,Zepto Pass,1,1,Household,1
300,Surat,25-34,New,5,457.81,8.2,Uncle Ji,1,0,Private Label,1
301,Mumbai,45+,Returning,5,420.27,7.81,Referral,1,0,Grocery,1
302,Mumbai,25-34,Returning,3,415.5,11.25,Uncle Ji,0,0,Personal Care,1
303,Bangalore,35-44,Returning,7,402.61,9.71,Influencer,0,1,Personal Care,1
304,Pune,35-44,Returning,5,407.77,7.69,Festival Offer,1,0,Personal Care,0
305,Delhi,18-24,Returning,12,618.79,8.64,Referral,0,0,Personal Care,1
306,Chennai,18-24,New,5,445.75,8.93,Uncle Ji,0,0,Household,0
307,Hyderabad,25-34,Returning,6,629.02,8.64,Meme Marketing,1,1,Personal Care,0
308,Delhi,25-34,New,3,312.2,8.36,Meme Marketing,0,1,Private Label,0
309,Surat,35-44,Returning,4,120,10.65,Festival Offer,0,1,Personal Care,1
310,Pune,45+,Returning,6,364.45,9.59,Influencer,0,1,Snacks,1
311,Surat,25-34,New,6,319.67,12.18,Zepto Pass,0,1,Grocery,1
312,Jaipur,18-24,New,7,240.77,10.73,Zepto Pass,1,0,Private Label,1
313,Hyderabad,35-44,Returning,5,576.08,9,Festival Offer,0,1,Household,0
314,Jaipur,18-24,New,13,259.63,10.93,Uncle Ji,1,0,Private Label,1
315,Bangalore,35-44,Returning,1,489.93,9.33,Referral,0,1,Snacks,1
316,Surat,25-34,New,6,661.7,12.43,Festival Offer,1,1,Personal Care,1
317,Bangalore,25-34,New,4,282.01,8.33,Zepto Pass,1,1,Personal Care,0
318,Mumbai,18-24,Returning,3,392.29,9.48,Meme Marketing,0,0,Household,0
319,Jaipur,25-34,Returning,4,582.32,7.9,Zepto Pass,1,1,Grocery,1
320,Pune,25-34,Returning,3,370.15,8.23,Meme Marketing,1,1,Personal Care,0
321,Surat,25-34,New,4,459.89,8.29,Zepto Pass,0,0,Household,0
322,Chennai,18-24,Returning,6,496.72,10.65,Influencer,1,1,Personal Care,1
323,Hyderabad,35-44,Returning,6,440.83,9.11,Festival Offer,0,0,Private Label,0
324,Delhi,35-44,Returning,10,366.2,5.11,Referral,0,1,Household,0
325,Pune,18-24,Returning,6,326.29,8.94,Festival Offer,1,0,Household,1
326,Pune,18-24,Returning,6,288.63,7.34,Uncle Ji,0,0,Household,0
327,Bangalore,18-24,Returning,3,491.58,8.14,Meme Marketing,1,1,Personal Care,1
328,Jaipur,25-34,New,7,341.05,10.53,Zepto Pass,1,0,Household,1
329,Surat,25-34,Returning,5,563.52,6.78,Uncle Ji,1,0,Private Label,0
